"time_s" "index" "u_ms" "w1_ms" "w2_ms"
"1" 0 1 -0.0475 -0.0294 -0.0303
"2" 0.005 2 -0.0468 -0.0274 -0.0304
"3" 0.01 3 -0.0508 -0.0268 -0.0259
"4" 0.015 4 -0.0524 -0.0262 -0.0282
"5" 0.02 5 -0.0514 -0.0255 -0.027
"6" 0.025 6 -0.0553 -0.0245 -0.026
"7" 0.03 7 -0.0559 -0.0236 -0.0252
"8" 0.035 8 -0.0543 -0.0235 -0.0244
"9" 0.04 9 -0.0565 -0.0225 -0.0261
"10" 0.045 10 -0.0561 -0.0206 -0.0227
"11" 0.05 11 -0.0597 -0.0212 -0.0238
"12" 0.055 12 -0.0562 -0.0186 -0.026
"13" 0.06 13 -0.0586 -0.0185 -0.0248
"14" 0.065 14 -0.0612 -0.0173 -0.0194
"15" 0.07 15 -0.0671 -0.0175 -0.0187
"16" 0.075 16 -0.0647 -0.0174 -0.0188
"17" 0.08 17 -0.0639 -0.0165 -0.0178
"18" 0.085 18 -0.0691 -0.0161 -0.0164
"19" 0.09 19 -0.0734 -0.0151 -0.0183
"20" 0.095 20 -0.0754 -0.0159 -0.0166
"21" 0.1 21 -0.0699 -0.0137 -0.017
"22" 0.105 22 -0.073 -0.0137 -0.0168
"23" 0.11 23 -0.0774 -0.013 -0.0154
"24" 0.115 24 -0.0746 -0.0126 -0.0133
"25" 0.12 25 -0.0735 -0.011 -0.0151
"26" 0.125 26 -0.0682 -0.0115 -0.0109
"27" 0.13 27 -0.0662 -0.0094 -0.0121
"28" 0.135 28 -0.0729 -0.0098 -0.0101
"29" 0.14 29 -0.0767 -0.0089 -0.0098
"30" 0.145 30 -0.0753 -0.0091 -0.0083
"31" 0.15 31 -0.0735 -0.0082 -0.0097
"32" 0.155 32 -0.0763 -0.0079 -0.0084
"33" 0.16 33 -0.0793 -0.0055 -0.0082
"34" 0.165 34 -0.0779 -0.0057 -0.0072
"35" 0.17 35 -0.0735 -0.005 -0.0071
"36" 0.175 36 -0.0732 -0.0039 -0.0042
"37" 0.18 37 -0.0748 -0.0032 -0.0044
"38" 0.185 38 -0.0766 -0.0023 -0.0046
"39" 0.19 39 -0.0776 -8e-04 -0.0025
"40" 0.195 40 -0.0734 -0.0021 -0.0029
"41" 0.2 41 -0.075 -5e-04 -0.0036
"42" 0.205 42 -0.0758 -8e-04 -0.0037
"43" 0.21 43 -0.0764 -5e-04 -0.002
"44" 0.215 44 -0.0825 -7e-04 -0.0021
"45" 0.22 45 -0.0865 -9e-04 -0.0043
"46" 0.225 46 -0.0847 -0.0014 -0.0035
"47" 0.23 47 -0.079 -4e-04 -0.0044
"48" 0.235 48 -0.0734 0 -0.0019
"49" 0.24 49 -0.072 -0.0012 -0.0017
"50" 0.245 50 -0.0653 -0.0016 -0.0041
"51" 0.25 51 -0.0625 -0.0017 0.001
"52" 0.255 52 -0.0545 0.001 -0.001
"53" 0.26 53 -0.0527 0.001 0.0021
"54" 0.265 54 -0.063 0.0015 -0.0015
"55" 0.27 55 -0.0506 0.0015 0.0026
"56" 0.275 56 -0.0541 0.0041 0.002
"57" 0.28 57 -0.0468 0.0049 0.0042
"58" 0.285 58 -0.0489 0.0066 0.0063
"59" 0.29 59 -0.0428 0.008 0.0084
"60" 0.295 60 -0.0471 0.0074 0.0089
"61" 0.3 61 -0.0433 0.0101 0.0088
"62" 0.305 62 -0.0376 0.0108 0.0104
"63" 0.31 63 -0.0457 0.0117 0.0115
"64" 0.315 64 -0.0416 0.0116 0.011
"65" 0.32 65 -0.0416 0.0111 0.013
"66" 0.325 66 -0.0448 0.0128 0.0154
"67" 0.33 67 -0.0353 0.0129 0.014
"68" 0.335 68 -0.0373 0.0134 0.0106
"69" 0.34 69 -0.0359 0.013 0.0151
"70" 0.345 70 -0.0334 0.0142 0.0165
"71" 0.35 71 -0.0298 0.013 0.0158
"72" 0.355 72 -0.0292 0.0149 0.0126
"73" 0.36 73 -0.0246 0.0156 0.017
"74" 0.365 74 -0.0217 0.0166 0.0161
"75" 0.37 75 -0.0246 0.0163 0.0191
"76" 0.375 76 -0.0238 0.0171 0.0132
"77" 0.38 77 -0.0217 0.0164 0.0187
"78" 0.385 78 -0.0202 0.0179 0.0162
"79" 0.39 79 -0.015 0.018 0.02
"80" 0.395 80 -0.0182 0.0174 0.0205
"81" 0.4 81 -0.0103 0.0182 0.0191
"82" 0.405 82 -0.0036 0.0187 0.0197
"83" 0.41 83 -0.0028 0.0186 0.0189
"84" 0.415 84 -0.0051 0.0184 0.021
"85" 0.42 85 -0.0012 0.0185 0.0236
"86" 0.425 86 0.0016 0.0198 0.0225
"87" 0.43 87 0.0012 0.0198 0.0215
"88" 0.435 88 0.0042 0.0197 0.0215
"89" 0.44 89 0.0066 0.02 0.0226
"90" 0.445 90 0.0064 0.0209 0.0195
"91" 0.45 91 0.0096 0.0221 0.0212
"92" 0.455 92 0.0149 0.0216 0.0199
"93" 0.46 93 0.0134 0.0218 0.0208
