time (s), (volts), (volts), (volts)
5690.15,0.60,0.20,-8.81
5690.16,0.60,0.23,0.14
5690.17,0.60,0.25,0.08
5690.18,0.60,0.27,0.04
5690.19,0.60,0.28,0.00
5690.20,0.60,0.28,-0.05
5690.21,0.60,0.27,-0.08
5690.22,0.60,0.27,-0.11
5690.23,0.60,0.25,-0.12
5690.24,0.60,0.20,-0.14
5690.25,0.60,0.18,-0.15
5690.26,0.60,0.14,-0.16
5690.27,0.60,0.10,-0.16
5690.28,0.60,0.06,-0.15
5690.29,0.60,0.01,-0.14
5690.30,0.60,-0.03,-0.12
5690.31,0.60,-0.08,-0.11
5690.32,0.60,-0.12,-0.08
5690.33,0.60,-0.15,-0.05
5690.34,0.60,-0.15,-0.05
5690.35,0.60,-0.20,0.00
5690.36,0.60,-0.19,-3.02
5690.37,0.60,-0.17,-8.81
5690.38,0.60,-0.16,-3.45
5690.39,0.60,-0.14,0.18
5690.40,0.60,-0.11,0.23
5690.41,0.60,-0.07,0.26
5690.42,0.60,-0.04,0.28
5690.43,0.60,-0.02,0.29
5690.44,0.60,0.03,0.30
5690.45,0.60,0.08,0.29
5690.46,0.60,0.13,0.27
5690.47,0.60,0.17,-1.55
5690.48,0.60,0.20,-7.00
5690.49,0.60,0.23,0.16
5690.50,0.60,0.25,0.09
5690.51,0.60,0.27,0.05
5690.52,0.60,0.28,0.01
5690.53,0.60,0.28,-0.03
5690.54,0.60,0.28,-0.08
5690.55,0.60,0.27,-0.10
5690.56,0.60,0.26,-0.11
5690.57,0.60,0.22,-0.14
5690.58,0.60,0.19,-0.15
5690.59,0.60,0.15,-0.16
5690.60,0.60,0.12,-0.16
5690.61,0.60,0.07,-0.16
5690.62,0.60,0.03,-0.15
5690.63,0.60,-0.02,-0.13
5690.64,0.60,-0.06,-0.11
5690.65,0.60,-0.10,-0.09
5690.66,0.60,-0.14,-0.06
5690.67,0.60,-0.14,-0.06
5690.68,0.60,-0.19,-0.01
5690.69,0.60,-0.18,-1.81
5690.70,0.60,-0.18,-1.16
5690.71,0.60,-0.17,0.11
5690.72,0.60,-0.15,0.16
5690.73,0.60,-0.11,0.20
