"time_s" "index" "u_ms" "w1_ms" "w2_ms"
"1" 0 1 0.0092 -0.0321 -0.0314
"2" 0.005 2 9e-04 -0.0308 -0.0312
"3" 0.01 3 0.0076 -0.0338 -0.0318
"4" 0.015 4 0.0086 -0.034 -0.0316
"5" 0.02 5 0.0025 -0.0345 -0.0327
"6" 0.025 6 -0.0132 -0.0317 -0.0323
"7" 0.03 7 -0.0068 -0.0308 -0.0345
"8" 0.035 8 -0.0122 -0.0326 -0.0342
"9" 0.04 9 -0.0139 -0.0334 -0.0347
"10" 0.045 10 -0.0211 -0.0316 -0.0357
"11" 0.05 11 -0.0162 -0.033 -0.0353
"12" 0.055 12 -0.0085 -0.0343 -0.0347
"13" 0.06 13 -0.0137 -0.034 -0.0357
"14" 0.065 14 -0.019 -0.0323 -0.0328
"15" 0.07 15 -0.0152 -0.0342 -0.034
"16" 0.075 16 -0.023 -0.0326 -0.0339
"17" 0.08 17 -0.0198 -0.0336 -0.0339
"18" 0.085 18 -0.0247 -0.0322 -0.0334
"19" 0.09 19 -0.0234 -0.0326 -0.0336
"20" 0.095 20 -0.0265 -0.0316 -0.0319
"21" 0.1 21 -0.0271 -0.0315 -0.0328
"22" 0.105 22 -0.0265 -0.0311 -0.0323
"23" 0.11 23 -0.029 -0.0305 -0.0329
"24" 0.115 24 -0.0313 -0.0306 -0.0322
"25" 0.12 25 -0.0322 -0.03 -0.033
"26" 0.125 26 -0.0345 -0.0294 -0.0291
"27" 0.13 27 -0.0373 -0.0294 -0.0326
"28" 0.135 28 -0.0402 -0.0294 -0.0302
"29" 0.14 29 -0.0387 -0.0284 -0.0285
"30" 0.145 30 -0.0403 -0.0274 -0.0283
"31" 0.15 31 -0.0401 -0.0273 -0.026
"32" 0.155 32 -0.0405 -0.0269 -0.0259
"33" 0.16 33 -0.0419 -0.0257 -0.0266
"34" 0.165 34 -0.0417 -0.0252 -0.0271
"35" 0.17 35 -0.0429 -0.0247 -0.0258
"36" 0.175 36 -0.0407 -0.0252 -0.0252
"37" 0.18 37 -0.0396 -0.0214 -0.0246
"38" 0.185 38 -0.0458 -0.0229 -0.023
"39" 0.19 39 -0.043 -0.0205 -0.022
"40" 0.195 40 -0.0416 -0.0197 -0.02
"41" 0.2 41 -0.0483 -0.0207 -0.0187
"42" 0.205 42 -0.0532 -0.0204 -0.0193
"43" 0.21 43 -0.0499 -0.0192 -0.0196
"44" 0.215 44 -0.0523 -0.0185 -0.0177
"45" 0.22 45 -0.0495 -0.0163 -0.0174
"46" 0.225 46 -0.0515 -0.0171 -0.0169
"47" 0.23 47 -0.0525 -0.015 -0.0156
"48" 0.235 48 -0.0532 -0.0141 -0.0158
"49" 0.24 49 -0.0524 -0.0128 -0.0156
"50" 0.245 50 -0.051 -0.0122 -0.0139
"51" 0.25 51 -0.0524 -0.0115 -0.0113
"52" 0.255 52 -0.0535 -0.0104 -0.0107
"53" 0.26 53 -0.0541 -0.0098 -0.0095
"54" 0.265 54 -0.0549 -0.0087 -0.009
"55" 0.27 55 -0.0581 -0.0073 -0.0098
"56" 0.275 56 -0.0565 -0.0067 -0.0079
"57" 0.28 57 -0.0578 -0.0054 -0.0079
"58" 0.285 58 -0.055 -0.0046 -0.0059
"59" 0.29 59 -0.0574 -0.0037 -0.0054
"60" 0.295 60 -0.0566 -0.0033 -0.0034
"61" 0.3 61 -0.0556 -0.0033 -0.0023
"62" 0.305 62 -0.0594 -0.0026 -0.0012
"63" 0.31 63 -0.0588 -0.0012 -8e-04
"64" 0.315 64 -0.0564 4e-04 -3e-04
"65" 0.32 65 -0.0577 8e-04 4e-04
"66" 0.325 66 -0.0571 0.002 -4e-04
"67" 0.33 67 -0.0581 0.0028 0.0032
"68" 0.335 68 -0.0585 0.0037 0.0026
"69" 0.34 69 -0.0587 0.0034 0.0042
"70" 0.345 70 -0.0537 0.0059 0.0059
"71" 0.35 71 -0.0503 0.0067 0.0047
"72" 0.355 72 -0.0553 0.0056 0.0071
"73" 0.36 73 -0.0557 0.0049 0.0074
"74" 0.365 74 -0.0585 0.0076 0.0094
"75" 0.37 75 -0.0619 0.0069 0.0095
"76" 0.375 76 -0.0603 0.0067 0.0094
"77" 0.38 77 -0.0628 0.008 0.0092
"78" 0.385 78 -0.0626 0.0075 0.0119
"79" 0.39 79 -0.0598 0.009 0.0132
"80" 0.395 80 -0.0674 0.0076 0.0116
"81" 0.4 81 -0.066 0.0077 0.0096
"82" 0.405 82 -0.0654 0.0077 0.0105
"83" 0.41 83 -0.0623 0.0092 0.0085
"84" 0.415 84 -0.0552 0.0103 0.0103
"85" 0.42 85 -0.0606 0.0108 0.0111
"86" 0.425 86 -0.0552 0.0104 0.0088
"87" 0.43 87 -0.0602 0.0096 0.0091
"88" 0.435 88 -0.0572 0.0108 0.0092
"89" 0.44 89 -0.0556 0.0118 0.0082
"90" 0.445 90 -0.0511 0.0098 0.0097
"91" 0.45 91 -0.0497 0.0108 0.0116
"92" 0.455 92 -0.0392 0.0094 0.0099
"93" 0.46 93 -0.0437 0.0118 0.0118
"94" 0.465 94 -0.0375 0.0121 0.0105
"95" 0.47 95 -0.0393 0.0124 0.0102
"96" 0.475 96 -0.0322 0.0132 0.0104
"97" 0.48 97 -0.0298 0.0132 0.0114
"98" 0.485 98 -0.0231 0.014 0.0105
"99" 0.49 99 -0.0185 0.0158 0.011
"100" 0.495 100 -0.0181 0.0125 0.0119
"101" 0.5 101 -0.0138 0.0118 0.013
"102" 0.505 102 -0.0179 0.0132 0.0161
"103" 0.51 103 -0.0193 0.0138 0.0119
"104" 0.515 104 -0.0128 0.014 0.0141
