time (s), (volts), (volts), (volts)
5561.96,0.59,-0.01,-0.14
5561.97,0.60,0.02,-0.11
5561.98,0.60,0.06,-0.07
5561.99,0.60,0.10,-0.04
5562.00,0.60,0.13,0.00
5562.01,0.60,0.17,0.04
5562.02,0.60,0.20,0.07
5562.03,0.60,0.23,0.11
5562.04,0.60,0.25,0.14
5562.05,0.60,0.26,0.18
5562.06,0.60,0.27,0.20
5562.07,0.60,0.28,0.23
5562.08,0.60,0.28,0.24
5562.09,0.60,0.27,0.26
5562.10,0.60,0.26,0.27
5562.11,0.60,0.24,0.27
5562.12,0.60,0.21,0.26
5562.13,0.60,0.18,0.25
5562.14,0.60,0.17,0.24
5562.15,0.60,0.13,0.22
5562.16,0.60,0.09,0.19
5562.17,0.60,0.05,0.17
5562.18,0.60,0.01,0.15
5562.19,0.60,-0.02,0.11
5562.20,0.60,-0.03,0.05
5562.21,0.60,-0.06,0.01
5562.22,0.60,-0.13,-0.02
5562.23,0.60,-0.17,-0.05
5562.24,0.60,-0.16,-0.08
5562.25,0.60,-0.17,-0.11
5562.26,0.60,-0.18,-0.10
5562.27,0.60,-0.19,-0.13
5562.28,0.60,-0.19,-0.15
5562.29,0.60,-0.17,-0.17
5562.30,0.60,-0.16,-0.19
5562.31,0.60,-0.15,-0.19
5562.32,0.60,-0.14,-0.19
5562.33,0.60,-0.11,-0.19
5562.34,0.60,-0.08,-0.18
5562.35,0.60,-0.05,-0.16
5562.36,0.60,-0.01,-0.14
5562.37,0.60,0.03,-0.11
5562.38,0.60,0.06,-0.07
5562.39,0.60,0.10,-0.04
5562.40,0.60,0.14,0.00
5562.41,0.60,0.17,0.03
5562.42,0.59,0.20,0.07
5562.43,0.60,0.23,0.11
5562.44,0.60,0.25,0.14
5562.45,0.60,0.26,0.18
5562.46,0.60,0.28,0.21
5562.47,0.60,0.28,0.23
5562.48,0.60,0.28,0.25
5562.49,0.60,0.28,0.26
5562.50,0.60,0.26,0.27
5562.51,0.60,0.25,0.27
5562.52,0.60,0.22,0.27
5562.53,0.60,0.19,0.26
5562.54,0.60,0.17,0.24
5562.55,0.60,0.12,0.22
5562.56,0.60,0.08,0.20
5562.57,0.60,0.04,0.18
5562.58,0.60,0.01,0.13
5562.59,0.60,-0.03,0.09
5562.60,0.60,-0.05,0.04
5562.61,0.60,-0.06,0.01
5562.62,0.60,-0.12,-0.02
5562.63,0.60,-0.17,-0.06
5562.64,0.60,-0.16,-0.09
5562.65,0.60,-0.17,-0.10
5562.66,0.60,-0.18,-0.10
5562.67,0.60,-0.19,-0.13
5562.68,0.60,-0.19,-0.16
5562.69,0.60,-0.18,-0.18
5562.70,0.60,-0.16,-0.19
5562.71,0.60,-0.15,-0.20
5562.72,0.60,-0.13,-0.20
5562.73,0.60,-0.11,-0.19
5562.74,0.60,-0.08,-0.18
5562.75,0.60,-0.04,-0.16
5562.76,0.60,-0.01,-0.14
5562.77,0.60,0.03,-0.11
5562.78,0.60,0.06,-0.08
5562.79,0.60,0.10,-0.04
5562.80,0.60,0.13,0.00
5562.81,0.60,0.17,0.03
5562.82,0.60,0.20,0.07
5562.83,0.60,0.22,0.10
5562.84,0.60,0.25,0.14
5562.85,0.60,0.26,0.17
5562.86,0.60,0.27,0.20
5562.87,0.60,0.28,0.23
5562.88,0.60,0.28,0.25
5562.89,0.60,0.27,0.26
5562.90,0.60,0.26,0.27
5562.91,0.60,0.24,0.27
5562.92,0.60,0.21,0.27
5562.93,0.60,0.17,0.25
5562.94,0.60,0.18,0.24
5562.95,0.60,0.13,0.22
5562.96,0.60,0.08,0.20
5562.97,0.60,0.05,0.17
5562.98,0.60,0.01,0.15
5562.99,0.60,-0.02,0.07
5563.00,0.60,-0.04,0.05
5563.01,0.60,-0.07,0.00
5563.02,0.60,-0.14,-0.03
5563.03,0.60,-0.17,-0.06
5563.04,0.60,-0.17,-0.09
5563.05,0.60,-0.18,-0.11
5563.06,0.60,-0.19,-0.10
5563.07,0.60,-0.20,-0.13
5563.08,0.60,-0.20,-0.16
5563.09,0.59,-0.19,-0.18
5563.10,0.60,-0.17,-0.19
5563.11,0.60,-0.17,-0.20
5563.12,0.60,-0.15,-0.19
5563.13,0.60,-0.12,-0.19
5563.14,0.60,-0.09,-0.18
5563.15,0.60,-0.06,-0.16
5563.16,0.60,-0.02,-0.14
5563.17,0.60,0.01,-0.11
5563.18,0.60,0.05,-0.08
5563.19,0.60,0.09,-0.04
5563.20,0.60,0.13,-0.01
5563.21,0.60,0.16,0.03
5563.22,0.60,0.19,0.07
5563.23,0.60,0.22,0.11
5563.24,0.60,0.24,0.14
5563.25,0.60,0.26,0.17
5563.26,0.60,0.27,0.20
5563.27,0.60,0.28,0.22
5563.28,0.60,0.28,0.24
5563.29,0.60,0.27,0.26
5563.30,0.60,0.26,0.26
5563.31,0.60,0.25,0.26
5563.32,0.60,0.21,0.26
5563.33,0.60,0.17,0.25
5563.34,0.60,0.18,0.23
5563.35,0.60,0.14,0.21
5563.36,0.60,0.09,0.19
5563.37,0.60,0.05,0.17
5563.38,0.60,0.01,0.14
5563.39,0.60,-0.01,0.06
5563.40,0.60,-0.04,0.03
5563.41,0.60,-0.06,0.00
5563.42,0.60,-0.14,-0.03
5563.43,0.60,-0.16,-0.06
5563.44,0.60,-0.16,-0.09
5563.45,0.60,-0.17,-0.11
5563.46,0.60,-0.18,-0.10
5563.47,0.60,-0.18,-0.13
5563.48,0.60,-0.18,-0.16
5563.49,0.60,-0.18,-0.18
5563.50,0.60,-0.17,-0.19
5563.51,0.60,-0.15,-0.20
5563.52,0.60,-0.13,-0.19
5563.53,0.60,-0.11,-0.19
5563.54,0.60,-0.08,-0.18
5563.55,0.60,-0.04,-0.16
5563.56,0.59,-0.01,-0.13
5563.57,0.60,0.03,-0.11
5563.58,0.60,0.07,-0.07
5563.59,0.60,0.10,-0.04
5563.60,0.59,0.14,0.00
5563.61,0.60,0.17,0.04
5563.62,0.60,0.20,0.07
5563.63,0.60,0.23,0.11
5563.64,0.60,0.25,0.14
5563.65,0.60,0.26,0.17
5563.66,0.60,0.27,0.20
5563.67,0.60,0.28,0.23
5563.68,0.60,0.28,0.24
5563.69,0.60,0.27,0.26
5563.70,0.60,0.26,0.27
5563.71,0.60,0.24,0.27
5563.72,0.60,0.21,0.26
5563.73,0.60,0.17,0.26
5563.74,0.60,0.17,0.24
5563.75,0.60,0.14,0.22
5563.76,0.60,0.09,0.20
5563.77,0.60,0.05,0.17
5563.78,0.60,0.02,0.15
5563.79,0.60,-0.01,0.10
5563.80,0.60,-0.03,0.04
5563.81,0.60,-0.07,0.01
5563.82,0.60,-0.13,-0.02
5563.83,0.60,-0.16,-0.05
5563.84,0.60,-0.16,-0.08
5563.85,0.60,-0.17,-0.08
5563.86,0.60,-0.18,-0.10
5563.87,0.60,-0.18,-0.13
5563.88,0.60,-0.18,-0.15
5563.89,0.60,-0.17,-0.17
5563.90,0.60,-0.16,-0.19
5563.91,0.60,-0.15,-0.20
5563.92,0.60,-0.12,-0.19
5563.93,0.60,-0.10,-0.18
5563.94,0.60,-0.07,-0.18
5563.95,0.60,-0.04,-0.16
5563.96,0.60,0.00,-0.14
5563.97,0.60,0.03,-0.11
5563.98,0.60,0.07,-0.07
5563.99,0.60,0.11,-0.04
5564.00,0.60,0.14,-0.01
5564.01,0.60,0.18,0.03
5564.02,0.60,0.21,0.07
5564.03,0.60,0.23,0.11
5564.04,0.60,0.26,0.14
5564.05,0.60,0.27,0.17
5564.06,0.60,0.29,0.20
5564.07,0.60,0.29,0.23
5564.08,0.60,0.29,0.25
5564.09,0.60,0.28,0.26
5564.10,0.60,0.27,0.27
5564.11,0.60,0.26,0.27
5564.12,0.59,0.21,0.27
5564.13,0.60,0.20,0.26
5564.14,0.60,0.19,0.24
5564.15,0.60,0.13,0.22
5564.16,0.60,0.10,0.20
5564.17,0.60,0.06,0.18
5564.18,0.60,0.02,0.15
