time (s), (volts), (volts), (volts)
5966.11,0.60,0.22,-0.13
5966.12,0.60,0.27,-0.10
5966.13,0.60,0.31,-0.06
5966.14,0.60,0.34,-0.03
5966.15,0.60,0.37,0.03
5966.16,0.60,0.39,0.08
5966.17,0.60,0.41,0.13
5966.18,0.60,0.42,0.17
5966.19,0.60,0.43,0.22
5966.20,0.60,0.43,0.23
5966.21,0.60,0.43,0.29
5966.22,0.60,0.41,0.34
5966.23,0.60,0.40,0.40
5966.24,0.60,0.38,0.42
5966.25,0.60,0.33,0.45
5966.26,0.60,0.30,0.46
5966.27,0.60,0.31,0.47
5966.28,0.60,0.27,0.45
5966.29,0.60,0.20,0.43
5966.30,0.60,0.15,0.41
5966.31,0.60,0.11,0.36
5966.32,0.60,0.06,0.32
5966.33,0.60,0.00,0.27
5966.34,0.60,-0.05,0.19
5966.35,0.60,-0.11,0.14
5966.36,0.60,-0.14,0.09
5966.37,0.60,-0.16,0.07
5966.38,0.60,-0.21,0.02
5966.39,0.60,-0.28,0.00
5966.40,0.60,-0.31,-0.03
5966.41,0.60,-0.31,-0.07
5966.42,0.60,-0.33,-0.10
5966.43,0.60,-0.34,-0.13
5966.44,0.60,-0.34,-0.16
5966.45,0.60,-0.34,-0.19
5966.46,0.60,-0.33,-0.22
5966.47,0.60,-0.32,-0.25
5966.48,0.60,-0.31,-0.27
5966.49,0.60,-0.29,-0.29
5966.50,0.60,-0.27,-0.30
5966.51,0.60,-0.25,-0.30
5966.52,0.60,-0.22,-0.29
5966.53,0.60,-0.18,-0.28
5966.54,0.60,-0.14,-0.28
5966.55,0.60,-0.10,-0.27
5966.56,0.60,-0.04,-0.24
5966.57,0.60,0.01,-0.22
5966.58,0.60,0.06,-0.20
5966.59,0.60,0.12,-0.17
5966.60,0.60,0.17,-0.15
5966.61,0.60,0.22,-0.12
5966.62,0.60,0.27,-0.09
5966.63,0.60,0.31,-0.05
5966.64,0.60,0.35,-0.01
5966.65,0.60,0.38,0.04
5966.66,0.60,0.40,0.08
5966.67,0.60,0.41,0.13
5966.68,0.60,0.42,0.17
5966.69,0.60,0.43,0.21
5966.70,0.60,0.43,-0.39
5966.71,0.60,0.42,-0.33
5966.72,0.60,0.41,0.35
5966.73,0.60,0.40,0.40
5966.74,0.60,0.37,0.42
5966.75,0.60,0.33,0.44
5966.76,0.60,0.30,0.46
5966.77,0.60,0.28,0.47
5966.78,0.60,0.28,0.45
5966.79,0.60,0.22,0.43
5966.80,0.60,0.16,0.38
5966.81,0.60,0.11,0.34
5966.82,0.60,0.06,0.31
5966.83,0.60,0.01,0.26
5966.84,0.60,-0.05,0.18
5966.85,0.60,-0.09,0.14
5966.86,0.60,-0.14,0.09
5966.87,0.60,-0.16,0.06
5966.88,0.60,-0.20,0.02
5966.89,0.60,-0.27,0.00
5966.90,0.60,-0.31,-0.04
5966.91,0.60,-0.30,-0.07
5966.92,0.60,-0.32,-0.10
5966.93,0.60,-0.32,-0.13
5966.94,0.60,-0.33,-0.17
5966.95,0.60,-0.33,-0.20
5966.96,0.60,-0.33,-0.23
5966.97,0.60,-0.31,-0.25
5966.98,0.60,-0.30,-0.28
5966.99,0.60,-0.29,-0.30
5967.00,0.60,-0.27,-0.30
5967.01,0.60,-0.24,-0.31
5967.02,0.60,-0.21,-0.30
5967.03,0.60,-0.18,-0.29
5967.04,0.60,-0.14,-0.28
5967.05,0.60,-0.09,-0.26
5967.06,0.60,-0.04,-0.24
5967.07,0.60,0.01,-0.22
5967.08,0.60,0.05,-0.19
5967.09,0.60,0.10,-0.17
5967.10,0.60,0.18,-0.15
5967.11,0.60,0.23,-0.12
5967.12,0.60,0.27,-0.09
5967.13,0.60,0.31,-0.05
5967.14,0.60,0.35,0.00
5967.15,0.60,0.37,0.04
5967.16,0.60,0.39,0.09
5967.17,0.60,0.41,0.14
5967.18,0.60,0.42,0.18
5967.19,0.60,0.42,0.23
5967.20,0.60,0.42,0.25
5967.21,0.60,0.42,-0.31
5967.22,0.60,0.41,0.36
5967.23,0.60,0.39,0.41
5967.24,0.60,0.38,0.44
5967.25,0.60,0.34,0.46
5967.26,0.60,0.30,0.47
5967.27,0.60,0.27,0.48
5967.28,0.60,0.27,0.46
5967.29,0.60,0.21,0.44
5967.30,0.60,0.15,0.42
5967.31,0.60,0.10,0.36
5967.32,0.60,0.05,0.33
5967.33,0.60,0.00,0.27
5967.34,0.60,-0.06,0.19
5967.35,0.60,-0.12,0.15
5967.36,0.60,-0.14,0.10
5967.37,0.60,-0.18,0.07
5967.38,0.60,-0.22,0.02
5967.39,0.60,-0.28,0.00
5967.40,0.60,-0.32,-0.04
5967.41,0.60,-0.31,-0.07
5967.42,0.60,-0.33,-0.10
5967.43,0.60,-0.33,-0.13
5967.44,0.60,-0.34,-0.17
5967.45,0.60,-0.33,-0.20
5967.46,0.60,-0.33,-0.23
5967.47,0.60,-0.32,-0.26
5967.48,0.60,-0.31,-0.28
5967.49,0.60,-0.29,-0.30
5967.50,0.60,-0.27,-0.31
5967.51,0.60,-0.24,-0.31
5967.52,0.60,-0.22,-0.30
5967.53,0.60,-0.18,-0.29
5967.54,0.60,-0.14,-0.28
5967.55,0.60,-0.09,-0.26
5967.56,0.60,-0.04,-0.25
5967.57,0.60,0.00,-0.23
5967.58,0.60,0.05,-0.20
5967.59,0.60,0.10,-0.18
5967.60,0.60,0.19,-0.15
5967.61,0.60,0.24,-0.13
5967.62,0.60,0.28,-0.09
5967.63,0.60,0.32,-0.05
5967.64,0.60,0.35,-0.01
5967.65,0.60,0.38,0.04
5967.66,0.60,0.40,0.08
5967.67,0.60,0.42,0.13
5967.68,0.60,0.43,0.17
5967.69,0.60,0.43,0.22
5967.70,0.60,0.43,0.23
5967.71,0.60,0.42,-0.27
5967.72,0.60,0.41,0.34
5967.73,0.60,0.40,0.39
5967.74,0.60,0.38,0.42
5967.75,0.60,0.34,0.44
5967.76,0.60,0.30,0.46
5967.77,0.60,0.27,0.47
5967.78,0.60,0.25,0.46
5967.79,0.60,0.22,0.43
5967.80,0.60,0.16,0.41
5967.81,0.60,0.11,0.36
5967.82,0.60,0.05,0.32
5967.83,0.60,0.00,0.26
5967.84,0.60,-0.06,0.19
5967.85,0.60,-0.11,0.14
5967.86,0.60,-0.15,0.10
5967.87,0.60,-0.17,0.07
5967.88,0.60,-0.21,0.03
5967.89,0.60,-0.28,0.01
5967.90,0.60,-0.31,-0.03
5967.91,0.60,-0.31,-0.07
5967.92,0.60,-0.33,-0.10
5967.93,0.60,-0.33,-0.13
5967.94,0.60,-0.34,-0.17
5967.95,0.60,-0.34,-0.20
5967.96,0.60,-0.33,-0.23
5967.97,0.60,-0.32,-0.26
5967.98,0.60,-0.31,-0.28
5967.99,0.60,-0.30,-0.29
5968.00,0.60,-0.28,-0.30
5968.01,0.60,-0.25,-0.31
5968.02,0.60,-0.22,-0.29
5968.03,0.60,-0.19,-0.29
5968.04,0.60,-0.15,-0.29
5968.05,0.60,-0.10,-0.27
5968.06,0.60,-0.05,-0.25
5968.07,0.60,-0.02,-0.23
5968.08,0.60,0.04,-0.20
5968.09,0.60,0.09,-0.18
5968.10,0.60,0.16,-0.16
5968.11,0.60,0.22,-0.13
5968.12,0.60,0.27,-0.10
5968.13,0.60,0.31,-0.06
5968.14,0.60,0.35,-0.02
5968.15,0.60,0.37,0.03
5968.16,0.60,0.39,0.07
5968.17,0.60,0.41,0.12
5968.18,0.60,0.42,0.16
5968.19,0.60,0.42,0.21
5968.20,0.60,0.43,0.23
5968.21,0.60,0.42,-0.31
5968.22,0.60,0.41,0.33
5968.23,0.60,0.40,0.39
5968.24,0.60,0.38,0.42
5968.25,0.60,0.35,0.44
5968.26,0.60,0.30,0.45
5968.27,0.60,0.27,0.46
5968.28,0.60,0.24,0.45
5968.29,0.60,0.20,0.43
5968.30,0.60,0.15,0.41
5968.31,0.60,0.10,0.37
5968.32,0.60,0.05,0.33
5968.33,0.60,-0.01,0.27
5968.34,0.60,-0.06,0.20
5968.35,0.60,-0.12,0.15
5968.36,0.60,-0.16,0.10
5968.37,0.60,-0.19,0.08
5968.38,0.60,-0.22,0.03
5968.39,0.60,-0.29,0.01
5968.40,0.60,-0.32,-0.03
5968.41,0.60,-0.32,-0.07
5968.42,0.60,-0.33,-0.10
5968.43,0.60,-0.34,-0.13
5968.44,0.60,-0.34,-0.17
5968.45,0.60,-0.34,-0.20
5968.46,0.60,-0.33,-0.23
5968.47,0.60,-0.33,-0.26
5968.48,0.60,-0.31,-0.28
5968.49,0.60,-0.30,-0.30
5968.50,0.60,-0.28,-0.31
5968.51,0.60,-0.26,-0.31
5968.52,0.60,-0.22,-0.30
5968.53,0.60,-0.19,-0.29
5968.54,0.60,-0.14,-0.29
5968.55,0.60,-0.10,-0.26
5968.56,0.60,-0.05,-0.25
5968.57,0.60,-0.01,-0.23
5968.58,0.60,0.04,-0.21
5968.59,0.60,0.11,-0.19
5968.60,0.60,0.18,-0.16
5968.61,0.60,0.23,-0.15
5968.62,0.60,0.28,-0.11
5968.63,0.60,0.31,-0.07
5968.64,0.60,0.34,-0.03
5968.65,0.60,0.37,0.02
5968.66,0.60,0.39,0.06
5968.67,0.60,0.41,0.11
5968.68,0.60,0.42,0.16
5968.69,0.60,0.42,0.20
5968.70,0.60,0.42,0.21
5968.71,0.60,0.42,-0.35
5968.72,0.60,0.41,0.32
5968.73,0.60,0.40,0.39
5968.74,0.60,0.38,0.42
5968.75,0.60,0.36,0.44
5968.76,0.60,0.35,0.46
5968.77,0.60,0.28,0.47
5968.78,0.60,0.25,0.46
5968.79,0.60,0.22,0.44
5968.80,0.60,0.16,0.41
5968.81,0.60,0.11,0.38
5968.82,0.60,0.06,0.33
5968.83,0.60,0.00,0.27
5968.84,0.60,-0.06,0.20
5968.85,0.60,-0.11,0.15
5968.86,0.60,-0.15,0.12
5968.87,0.60,-0.18,0.09
5968.88,0.60,-0.22,0.04
5968.89,0.60,-0.29,0.01
5968.90,0.60,-0.32,-0.03
5968.91,0.60,-0.31,-0.06
5968.92,0.60,-0.33,-0.09
5968.93,0.60,-0.33,-0.13
5968.94,0.60,-0.33,-0.16
5968.95,0.60,-0.33,-0.19
5968.96,0.60,-0.33,-0.23
5968.97,0.60,-0.32,-0.25
5968.98,0.60,-0.31,-0.27
5968.99,0.60,-0.29,-0.29
5969.00,0.60,-0.27,-0.30
5969.01,0.60,-0.24,-0.30
5969.02,0.60,-0.22,-0.29
5969.03,0.60,-0.18,-0.29
5969.04,0.60,-0.14,-0.29
5969.05,0.60,-0.09,-0.27
5969.06,0.60,-0.04,-0.25
5969.07,0.60,0.00,-0.23
5969.08,0.60,0.04,-0.21
5969.09,0.60,0.10,-0.19
5969.10,0.60,0.18,-0.17
5969.11,0.60,0.23,-0.15
5969.12,0.60,0.27,-0.12
5969.13,0.60,0.31,-0.07
5969.14,0.60,0.34,-0.04
5969.15,0.60,0.37,0.01
5969.16,0.60,0.39,0.05
5969.17,0.60,0.41,0.10
5969.18,0.60,0.42,0.15
5969.19,0.60,0.43,0.19
5969.20,0.60,0.43,0.20
5969.21,0.60,0.42,-1.42
5969.22,0.60,0.41,0.31
5969.23,0.60,0.41,0.38
5969.24,0.60,0.39,0.41
5969.25,0.60,0.37,0.43
5969.26,0.60,0.35,0.45
5969.27,0.60,0.30,0.46
5969.28,0.60,0.26,0.46
5969.29,0.60,0.22,0.44
5969.30,0.60,0.18,0.41
5969.31,0.60,0.13,-1.45
5969.32,0.60,0.08,-3.32
5969.33,0.60,0.03,0.28
5969.34,0.60,-0.03,0.21
5969.35,0.60,-0.08,0.16
5969.36,0.60,-0.13,0.12
5969.37,0.60,-0.16,0.09
5969.38,0.60,-0.19,0.04
5969.39,0.60,-0.24,0.01
5969.40,0.60,-0.30,-0.02
5969.41,0.60,-0.29,-0.06
5969.42,0.60,-0.30,-0.09
5969.43,0.60,-0.31,-0.13
5969.44,0.60,-0.31,-0.16
5969.45,0.60,-0.31,-0.20
5969.46,0.60,-0.31,-0.23
5969.47,0.60,-0.30,-0.26
5969.48,0.60,-0.29,-0.28
5969.49,0.60,-0.28,-0.30
5969.50,0.60,-0.26,-0.31
5969.51,0.60,-0.23,-0.31
5969.52,0.60,-0.20,-0.30
5969.53,0.60,-0.18,-0.30
5969.54,0.60,-0.14,-0.29
5969.55,0.60,-0.09,-0.28
5969.56,0.60,-0.04,-0.26
5969.57,0.60,-0.01,-0.24
5969.58,0.60,0.04,-0.22
5969.59,0.60,0.10,-0.20
5969.60,0.60,0.17,-0.18
5969.61,0.60,0.23,-0.17
5969.62,0.60,0.28,-0.13
5969.63,0.60,0.32,-0.08
5969.64,0.60,0.36,-0.05
5969.65,0.60,0.38,0.00
5969.66,0.60,0.41,0.04
5969.67,0.60,0.43,0.09
5969.68,0.60,0.44,0.14
5969.69,0.60,0.44,0.19
5969.70,0.60,0.44,0.20
5969.71,0.60,0.44,-0.29
5969.72,0.60,0.43,0.33
5969.73,0.60,0.42,0.37
5969.74,0.60,0.40,0.41
5969.75,0.60,0.38,0.43
5969.76,0.60,0.37,0.45
5969.77,0.60,0.32,0.46
5969.78,0.60,0.27,0.46
5969.79,0.60,0.24,0.44
5969.80,0.60,0.20,0.42
5969.81,0.60,0.14,0.39
5969.82,0.60,0.09,0.35
5969.83,0.60,0.04,0.29
5969.84,0.60,-0.02,0.22
5969.85,0.60,-0.07,0.17
5969.86,0.60,-0.12,0.13
5969.87,0.60,-0.16,0.11
5969.88,0.60,-0.17,0.04
5969.89,0.60,-0.22,0.02
5969.90,0.60,-0.30,-0.01
5969.91,0.60,-0.30,-0.05
5969.92,0.60,-0.31,-0.08
5969.93,0.60,-0.32,-0.12
5969.94,0.60,-0.32,-0.15
5969.95,0.60,-0.32,-0.19
5969.96,0.60,-0.32,-0.22
5969.97,0.60,-0.31,-0.25
5969.98,0.60,-0.30,-0.27
5969.99,0.60,-0.29,-0.29
5970.00,0.60,-0.27,-0.30
5970.01,0.60,-0.25,-0.30
5970.02,0.60,-0.23,-0.29
5970.03,0.60,-0.20,-0.29
5970.04,0.60,-0.16,-0.29
5970.05,0.60,-0.12,-0.27
5970.06,0.60,-0.08,-0.26
5970.07,0.60,-0.03,-0.24
5970.08,0.60,0.00,-0.22
5970.09,0.60,0.06,-0.20
5970.10,0.60,0.12,-0.18
5970.11,0.60,0.19,-0.17
5970.12,0.60,0.24,-0.14
5970.13,0.60,0.29,-0.09
5970.14,0.60,0.32,-0.05
5970.15,0.60,0.35,-0.01
5970.16,0.60,0.38,0.04
5970.17,0.60,0.40,0.09
5970.18,0.60,0.41,0.14
5970.19,0.60,0.42,0.18
5970.20,0.60,0.42,0.20
5970.21,0.60,0.42,-1.42
5970.22,0.60,0.42,0.33
5970.23,0.60,0.41,0.37
5970.24,0.60,0.40,0.41
5970.25,0.60,0.38,0.43
5970.26,0.60,0.36,0.45
5970.27,0.60,0.33,0.47
5970.28,0.60,0.26,0.46
5970.29,0.60,0.23,0.45
5970.30,0.60,0.19,0.43
5970.31,0.60,0.14,0.39
5970.32,0.60,0.09,0.34
5970.33,0.60,0.03,0.30
5970.34,0.60,-0.02,0.23
5970.35,0.60,-0.08,0.19
5970.36,0.60,-0.13,0.14
5970.37,0.60,-0.17,0.11
5970.38,0.60,-0.19,0.07
5970.39,0.60,-0.23,0.04
5970.40,0.60,-0.29,0.01
5970.41,0.60,-0.31,-0.03
5970.42,0.60,-0.32,-0.07
5970.43,0.60,-0.33,-0.10
5970.44,0.60,-0.33,-0.13
5970.45,0.60,-0.34,-0.17
5970.46,0.60,-0.33,-0.20
5970.47,0.60,-0.33,-0.23
5970.48,0.60,-0.32,-0.25
5970.49,0.60,-0.31,-0.27
5970.50,0.60,-0.29,-0.28
5970.51,0.60,-0.27,-0.28
5970.52,0.60,-0.24,-0.29
5970.53,0.60,-0.21,-0.27
5970.54,0.60,-0.18,-0.27
5970.55,0.60,-0.14,-0.25
5970.56,0.60,-0.09,-0.24
5970.57,0.60,-0.05,-0.22
5970.58,0.60,-0.01,-0.20
5970.59,0.60,0.04,-0.18
5970.60,0.60,0.10,-0.15
5970.61,0.60,0.16,-0.15
5970.62,0.60,0.23,-0.12
5970.63,0.60,0.27,-0.06
5970.64,0.60,0.31,-0.02
5970.65,0.60,0.34,0.02
5970.66,0.60,0.37,0.06
5970.67,0.60,0.39,0.11
5970.68,0.60,0.41,0.16
5970.69,0.60,0.42,0.20
5970.70,0.60,0.42,0.24
5970.71,0.60,0.42,-0.37
5970.72,0.60,0.42,0.35
5970.73,0.60,0.41,0.39
5970.74,0.60,0.39,0.43
5970.75,0.60,0.37,0.45
5970.76,0.60,0.35,0.47
5970.77,0.60,0.35,0.48
5970.78,0.60,0.28,0.49
5970.79,0.60,0.23,0.47
5970.80,0.60,0.21,0.44
5970.81,0.60,0.14,0.42
5970.82,0.60,0.09,0.38
5970.83,0.60,0.04,0.33
5970.84,0.60,-0.02,0.27
5970.85,0.60,-0.07,0.20
5970.86,0.60,-0.13,0.16
5970.87,0.60,-0.17,0.11
5970.88,0.60,-0.19,0.10
5970.89,0.60,-0.23,0.05
5970.90,0.60,-0.29,0.02
5970.91,0.60,-0.33,-0.02
5970.92,0.60,-0.33,-0.05
5970.93,0.60,-0.34,-0.09
5970.94,0.60,-0.35,-0.12
5970.95,0.60,-0.35,-0.15
5970.96,0.60,-0.35,-0.18
5970.97,0.60,-0.34,-0.21
5970.98,0.60,-0.33,-0.23
5970.99,0.60,-0.32,-0.25
5971.00,0.60,-0.30,-0.27
5971.01,0.60,-0.28,-0.27
5971.02,0.60,-0.26,-0.28
5971.03,0.60,-0.23,-0.26
5971.04,0.60,-0.19,-0.26
5971.05,0.60,-0.15,-0.26
