time (s), (volts), (volts), (volts)
5433.44,0.60,0.27,0.19
5433.45,0.60,0.26,0.21
5433.46,0.60,0.26,0.23
5433.47,0.60,0.25,0.25
5433.48,0.60,0.23,0.26
5433.49,0.60,0.21,0.27
5433.50,0.60,0.20,0.28
5433.51,0.60,0.17,0.28
5433.52,0.60,0.13,0.27
5433.53,0.60,0.10,0.26
5433.54,0.59,0.07,0.24
5433.55,0.60,0.04,0.22
5433.56,0.60,0.02,0.20
5433.57,0.60,-0.01,0.17
5433.58,0.60,-0.04,0.14
5433.59,0.60,-0.07,0.11
5433.60,0.60,-0.07,0.08
5433.61,0.59,-0.09,0.04
5433.62,0.60,-0.11,0.01
5433.63,0.60,-0.13,-0.01
5433.64,0.60,-0.15,-0.04
5433.65,0.60,-0.17,-0.06
5433.66,0.60,-0.18,-0.08
5433.67,0.60,-0.19,-0.10
5433.68,0.60,-0.19,-0.12
5433.69,0.60,-0.19,-0.13
5433.70,0.60,-0.19,-0.14
5433.71,0.60,-0.19,-0.14
5433.72,0.60,-0.18,-0.15
5433.73,0.60,-0.17,-0.15
5433.74,0.60,-0.16,-0.16
5433.75,0.59,-0.14,-0.16
5433.76,0.60,-0.12,-0.16
5433.77,0.60,-0.10,-0.15
5433.78,0.60,-0.07,-0.15
5433.79,0.60,-0.04,-0.14
5433.80,0.60,-0.02,-0.14
5433.81,0.60,0.02,-0.12
5433.82,0.60,0.05,-0.11
5433.83,0.60,0.08,-0.09
5433.84,0.60,0.11,-0.07
5433.85,0.60,0.14,-0.05
5433.86,0.60,0.17,-0.03
5433.87,0.60,0.19,0.00
5433.88,0.60,0.22,0.02
5433.89,0.60,0.24,0.05
5433.90,0.60,0.25,0.08
5433.91,0.60,0.26,0.11
5433.92,0.59,0.27,0.13
5433.93,0.60,0.27,0.16
5433.94,0.60,0.27,0.18
5433.95,0.60,0.26,0.21
5433.96,0.60,0.26,0.23
5433.97,0.60,0.25,0.25
5433.98,0.60,0.23,0.26
5433.99,0.60,0.22,0.27
5434.00,0.60,0.20,0.27
5434.01,0.60,0.17,0.27
5434.02,0.60,0.14,0.26
5434.03,0.60,0.10,0.25
5434.04,0.60,0.08,0.23
5434.05,0.60,0.05,0.21
5434.06,0.60,0.02,0.19
5434.07,0.60,-0.01,0.16
5434.08,0.60,-0.03,0.13
5434.09,0.60,-0.06,0.10
5434.10,0.60,-0.07,0.07
5434.11,0.60,-0.09,0.04
5434.12,0.60,-0.11,0.01
5434.13,0.60,-0.13,-0.02
