time (s), (volts), (volts), (volts)
5853.69,0.60,0.24,-0.02
5853.70,0.60,0.27,0.01
5853.71,0.60,0.30,0.04
5853.72,0.60,0.33,0.07
5853.73,0.60,0.34,0.10
5853.74,0.60,0.35,0.13
5853.75,0.60,0.36,0.16
5853.76,0.60,0.36,0.19
5853.77,0.60,0.36,0.23
5853.78,0.60,0.34,0.25
5853.79,0.60,0.32,0.27
5853.80,0.60,0.30,0.29
5853.81,0.60,0.28,0.31
5853.82,0.60,0.29,0.32
5853.83,0.60,0.27,0.33
5853.84,0.60,0.20,0.34
5853.85,0.60,0.18,0.33
5853.86,0.60,0.15,0.32
5853.87,0.60,0.12,0.31
5853.88,0.60,0.09,0.28
5853.89,0.60,0.06,0.26
5853.90,0.60,0.03,0.23
5853.91,0.60,-0.01,0.14
5853.92,0.60,-0.05,0.16
5853.93,0.60,-0.09,0.12
5853.94,0.60,-0.16,0.08
5853.95,0.60,-0.21,0.04
5853.96,0.60,-0.25,0.01
5853.97,0.60,-0.25,-0.03
5853.98,0.60,-0.26,-0.06
5853.99,0.60,-0.28,-0.09
5854.00,0.60,-0.28,-0.11
5854.01,0.60,-0.28,-0.14
5854.02,0.60,-0.28,-0.16
5854.03,0.60,-0.27,-0.18
5854.04,0.60,-0.26,-0.20
5854.05,0.60,-0.25,-0.22
5854.06,0.60,-0.23,-0.23
5854.07,0.60,-0.21,-0.24
5854.08,0.60,-0.19,-0.25
5854.09,0.60,-0.17,-0.24
5854.10,0.60,-0.14,-0.24
5854.11,0.60,-0.11,-0.23
5854.12,0.60,-0.07,-0.21
5854.13,0.60,-0.03,-0.19
5854.14,0.60,0.01,-0.17
5854.15,0.60,0.06,-0.14
5854.16,0.60,0.11,-0.11
5854.17,0.60,0.15,-0.08
5854.18,0.60,0.20,-0.05
5854.19,0.60,0.24,-0.02
5854.20,0.60,0.28,0.01
5854.21,0.60,0.30,0.05
5854.22,0.60,0.33,0.08
5854.23,0.60,0.35,0.11
5854.24,0.60,0.36,0.14
5854.25,0.60,0.37,0.17
5854.26,0.60,0.36,0.20
5854.27,0.60,0.36,0.23
5854.28,0.60,0.34,0.25
5854.29,0.60,0.31,0.27
5854.30,0.60,0.30,0.29
5854.31,0.60,0.28,0.31
5854.32,0.60,0.27,0.32
5854.33,0.60,0.26,0.33
5854.34,0.60,0.21,0.33
5854.35,0.60,0.18,0.33
5854.36,0.60,0.15,0.32
5854.37,0.60,0.11,0.30
5854.38,0.60,0.09,0.28
5854.39,0.60,0.07,0.25
5854.40,0.60,0.02,0.22
5854.41,0.60,-0.02,0.15
5854.42,0.60,-0.05,0.14
5854.43,0.60,-0.09,0.11
5854.44,0.60,-0.16,0.07
5854.45,0.60,-0.22,0.03
5854.46,0.60,-0.25,0.00
5854.47,0.60,-0.25,-0.03
5854.48,0.60,-0.27,-0.07
5854.49,0.60,-0.28,-0.09
5854.50,0.60,-0.29,-0.12
5854.51,0.60,-0.29,-0.15
5854.52,0.60,-0.28,-0.17
5854.53,0.60,-0.27,-0.19
5854.54,0.60,-0.26,-0.20
5854.55,0.60,-0.25,-0.22
5854.56,0.60,-0.23,-0.23
5854.57,0.60,-0.21,-0.24
5854.58,0.60,-0.20,-0.24
5854.59,0.60,-0.17,-0.24
5854.60,0.60,-0.14,-0.24
5854.61,0.60,-0.11,-0.22
5854.62,0.60,-0.08,-0.20
5854.63,0.60,-0.03,-0.19
5854.64,0.60,0.01,-0.17
5854.65,0.60,0.05,-0.14
5854.66,0.60,0.10,-0.11
5854.67,0.60,0.15,-0.08
5854.68,0.60,0.20,-0.05
5854.69,0.60,0.24,-0.02
5854.70,0.60,0.28,0.01
5854.71,0.60,0.31,0.04
5854.72,0.60,0.33,0.08
5854.73,0.60,0.35,0.11
5854.74,0.60,0.36,0.14
5854.75,0.60,0.37,0.17
5854.76,0.60,0.37,0.20
5854.77,0.60,0.37,0.23
5854.78,0.60,0.34,0.25
5854.79,0.60,0.32,0.28
5854.80,0.60,0.30,0.30
5854.81,0.60,0.29,0.31
5854.82,0.60,0.26,0.33
5854.83,0.60,0.24,0.34
5854.84,0.60,0.21,0.34
5854.85,0.60,0.18,0.33
5854.86,0.60,0.15,0.32
5854.87,0.60,0.11,0.30
5854.88,0.60,0.08,0.28
5854.89,0.60,0.05,0.25
5854.90,0.60,0.03,0.21
5854.91,0.60,0.00,0.13
5854.92,0.60,-0.05,0.11
5854.93,0.60,-0.09,0.10
5854.94,0.60,-0.16,0.07
5854.95,0.60,-0.22,0.03
5854.96,0.60,-0.25,0.00
5854.97,0.60,-0.25,-0.04
5854.98,0.60,-0.26,-0.07
5854.99,0.60,-0.28,-0.10
5855.00,0.60,-0.28,-0.12
5855.01,0.60,-0.28,-0.15
5855.02,0.60,-0.28,-0.17
5855.03,0.60,-0.27,-0.19
5855.04,0.60,-0.26,-0.21
5855.05,0.60,-0.24,-0.23
5855.06,0.60,-0.23,-0.24
5855.07,0.60,-0.21,-0.24
5855.08,0.60,-0.19,-0.25
5855.09,0.60,-0.17,-0.25
5855.10,0.60,-0.14,-0.23
5855.11,0.60,-0.11,-0.23
5855.12,0.60,-0.07,-0.21
5855.13,0.60,-0.03,-0.19
5855.14,0.60,0.01,-0.17
5855.15,0.60,0.05,-0.14
5855.16,0.60,0.10,-0.11
5855.17,0.60,0.15,-0.08
5855.18,0.60,0.20,-0.05
5855.19,0.60,0.24,-0.02
5855.20,0.60,0.27,0.01
5855.21,0.60,0.30,0.04
5855.22,0.60,0.33,0.08
5855.23,0.60,0.35,0.11
5855.24,0.60,0.36,0.14
5855.25,0.60,0.36,0.17
5855.26,0.60,0.36,0.20
5855.27,0.60,0.36,0.23
5855.28,0.60,0.33,0.25
5855.29,0.60,0.31,0.27
5855.30,0.60,0.30,0.30
5855.31,0.60,0.28,0.31
5855.32,0.60,0.26,0.33
5855.33,0.60,0.24,0.34
5855.34,0.60,0.21,0.34
5855.35,0.60,0.18,0.33
5855.36,0.60,0.15,0.32
5855.37,0.60,0.11,0.30
5855.38,0.60,0.07,0.28
5855.39,0.60,0.04,0.25
5855.40,0.60,0.01,0.19
5855.41,0.60,-0.01,0.13
5855.42,0.60,-0.07,0.12
5855.43,0.60,-0.09,0.11
5855.44,0.60,-0.16,0.07
5855.45,0.60,-0.21,0.03
5855.46,0.60,-0.25,0.00
5855.47,0.60,-0.24,-0.04
5855.48,0.60,-0.26,-0.07
5855.49,0.60,-0.27,-0.10
5855.50,0.60,-0.28,-0.12
5855.51,0.60,-0.27,-0.15
5855.52,0.60,-0.27,-0.17
5855.53,0.60,-0.26,-0.19
5855.54,0.60,-0.25,-0.21
5855.55,0.60,-0.24,-0.22
5855.56,0.60,-0.22,-0.23
5855.57,0.60,-0.20,-0.24
5855.58,0.60,-0.18,-0.24
5855.59,0.60,-0.16,-0.25
5855.60,0.60,-0.13,-0.24
5855.61,0.60,-0.10,-0.23
5855.62,0.60,-0.07,-0.22
5855.63,0.60,-0.03,-0.19
5855.64,0.60,0.01,-0.17
5855.65,0.60,0.06,-0.15
5855.66,0.60,0.10,-0.12
5855.67,0.60,0.15,-0.09
5855.68,0.60,0.19,-0.06
5855.69,0.60,0.23,-0.02
5855.70,0.60,0.27,0.01
5855.71,0.60,0.30,0.04
5855.72,0.60,0.32,0.07
5855.73,0.60,0.34,0.10
5855.74,0.60,0.35,0.13
5855.75,0.60,0.35,0.17
5855.76,0.60,0.35,0.20
5855.77,0.60,0.35,0.22
5855.78,0.60,0.32,0.25
5855.79,0.60,0.30,0.27
5855.80,0.60,0.29,0.29
5855.81,0.60,0.27,0.31
5855.82,0.60,0.26,0.32
5855.83,0.60,0.23,0.33
5855.84,0.60,0.20,0.33
5855.85,0.60,0.17,0.33
5855.86,0.60,0.14,0.32
5855.87,0.60,0.11,0.30
5855.88,0.60,0.08,0.28
5855.89,0.60,0.06,0.25
5855.90,0.60,0.02,0.18
5855.91,0.60,-0.04,0.13
5855.92,0.60,-0.05,0.15
5855.93,0.60,-0.09,0.11
5855.94,0.60,-0.15,0.07
5855.95,0.60,-0.21,0.03
5855.96,0.60,-0.25,0.00
5855.97,0.60,-0.25,-0.03
5855.98,0.60,-0.26,-0.07
5855.99,0.60,-0.27,-0.09
5856.00,0.60,-0.28,-0.12
5856.01,0.60,-0.28,-0.14
5856.02,0.60,-0.27,-0.16
5856.03,0.60,-0.26,-0.18
5856.04,0.60,-0.25,-0.20
5856.05,0.60,-0.24,-0.22
5856.06,0.60,-0.23,-0.23
5856.07,0.60,-0.21,-0.24
5856.08,0.60,-0.19,-0.24
5856.09,0.60,-0.17,-0.24
5856.10,0.60,-0.14,-0.23
5856.11,0.60,-0.11,-0.23
5856.12,0.60,-0.07,-0.21
5856.13,0.60,-0.03,-0.19
5856.14,0.60,0.01,-0.18
5856.15,0.60,0.05,-0.15
5856.16,0.60,0.10,-0.12
5856.17,0.60,0.15,-0.09
5856.18,0.60,0.19,-0.06
5856.19,0.60,0.24,-0.03
5856.20,0.60,0.27,0.00
5856.21,0.60,0.30,0.04
5856.22,0.60,0.32,0.07
5856.23,0.60,0.34,0.10
5856.24,0.60,0.35,0.13
5856.25,0.60,0.36,0.16
5856.26,0.60,0.36,0.20
5856.27,0.60,0.35,0.22
5856.28,0.60,0.32,0.25
5856.29,0.60,0.31,0.27
5856.30,0.60,0.29,0.29
5856.31,0.60,0.27,0.31
5856.32,0.60,0.25,0.33
5856.33,0.60,0.23,0.33
5856.34,0.60,0.20,0.34
5856.35,0.60,0.17,0.33
5856.36,0.60,0.14,0.32
5856.37,0.60,0.11,0.30
5856.38,0.60,0.07,0.27
5856.39,0.60,0.03,0.25
5856.40,0.60,0.02,0.17
5856.41,0.60,-0.01,0.14
5856.42,0.60,-0.06,0.14
5856.43,0.60,-0.10,0.10
5856.44,0.60,-0.17,0.07
5856.45,0.60,-0.22,0.03
5856.46,0.60,-0.25,0.00
5856.47,0.60,-0.24,-0.03
5856.48,0.60,-0.26,-0.06
5856.49,0.60,-0.28,-0.09
5856.50,0.60,-0.28,-0.12
5856.51,0.60,-0.28,-0.14
5856.52,0.60,-0.28,-0.16
5856.53,0.60,-0.27,-0.18
5856.54,0.60,-0.26,-0.20
5856.55,0.60,-0.25,-0.22
5856.56,0.60,-0.23,-0.23
5856.57,0.60,-0.21,-0.24
5856.58,0.60,-0.19,-0.24
5856.59,0.60,-0.17,-0.24
5856.60,0.60,-0.14,-0.24
5856.61,0.60,-0.11,-0.22
5856.62,0.60,-0.08,-0.21
5856.63,0.60,-0.03,-0.20
5856.64,0.60,0.01,-0.17
5856.65,0.60,0.05,-0.15
5856.66,0.60,0.10,-0.12
