time_s,volts,Force_newtons,,,correction factor,0.0081
7379.72,0.000383,0.047283951,,,,
7379.73,0.000393,0.048518519,,,,
7379.74,0.000354,0.043703704,,,,
7379.75,0.000276,0.034074074,,,,
7379.76,0.000286,0.035308642,,,,
7379.77,0.000188,0.023209877,,,,
7379.78,0.000296,0.03654321,,,,
7379.79,0.000178,0.021975309,,,,
7379.8,0.00012,0.014814815,,,,
7379.81,0.000071,0.008765432,,,,
7379.82,0.000051,0.006296296,,,,
7379.83,0.000003,0.00037037,,,,
7379.84,-0.000076,-0.009382716,,,,
7379.85,-0.000085,-0.010493827,,,,
7379.86,-0.000134,-0.01654321,,,,
7379.87,-0.000183,-0.022592593,,,,
7379.88,-0.000222,-0.027407407,,,,
7379.89,-0.000281,-0.034691358,,,,
7379.9,-0.000232,-0.028641975,,,,
7379.91,-0.00029,-0.035802469,,,,
7379.92,-0.00029,-0.035802469,,,,
7379.93,-0.000329,-0.040617284,,,,
7379.94,-0.000359,-0.044320988,,,,
7379.95,-0.000388,-0.047901235,,,,
7379.96,-0.000349,-0.04308642,,,,
7379.97,-0.000368,-0.045432099,,,,
7379.98,-0.000388,-0.047901235,,,,
7379.99,-0.000447,-0.055185185,,,,
7380,-0.000437,-0.053950617,,,,
7380.01,-0.000437,-0.053950617,,,,
7380.02,-0.000447,-0.055185185,,,,
7380.03,-0.000427,-0.052716049,,,,
7380.04,-0.000427,-0.052716049,,,,
7380.05,-0.000466,-0.057530864,,,,
7380.06,-0.000437,-0.053950617,,,,
7380.07,-0.000456,-0.056296296,,,,
7380.08,-0.000408,-0.05037037,,,,
7380.09,-0.000437,-0.053950617,,,,
7380.1,-0.000408,-0.05037037,,,,
7380.11,-0.000486,-0.06,,,,
7380.12,-0.000447,-0.055185185,,,,
7380.13,-0.000437,-0.053950617,,,,
7380.14,-0.000408,-0.05037037,,,,
7380.15,-0.000388,-0.047901235,,,,
7380.16,-0.000417,-0.051481481,,,,
7380.17,-0.000388,-0.047901235,,,,
7380.18,-0.000378,-0.046666667,,,,
7380.19,-0.000388,-0.047901235,,,,
7380.2,-0.000349,-0.04308642,,,,
7380.21,-0.000329,-0.040617284,,,,
7380.22,-0.000329,-0.040617284,,,,
7380.23,-0.000339,-0.041851852,,,,
7380.24,-0.000251,-0.030987654,,,,
7380.25,-0.000173,-0.021358025,,,,
7380.26,-0.000134,-0.01654321,,,,
7380.27,-0.000154,-0.019012346,,,,
7380.28,-0.000115,-0.014197531,,,,
7380.29,-0.000046,-0.005679012,,,,
7380.3,0.000032,0.003950617,,,,
7380.31,0.000022,0.002716049,,,,
7380.32,0.000032,0.003950617,,,,
7380.33,0.0001,0.012345679,,,,
7380.34,0.00012,0.014814815,,,,
7380.35,0.00013,0.016049383,,,,
7380.36,0.000169,0.020864198,,,,
7380.37,0.000198,0.024444444,,,,
7380.38,0.000237,0.029259259,,,,
7380.39,0.000266,0.032839506,,,,
7380.4,0.000305,0.037654321,,,,
7380.41,0.000325,0.040123457,,,,
7380.42,0.000296,0.03654321,,,,
7380.43,0.000364,0.044938272,,,,
7380.44,0.000413,0.050987654,,,,
7380.45,0.000471,0.058148148,,,,
7380.46,0.000471,0.058148148,,,,
7380.47,0.000491,0.060617284,,,,
7380.48,0.00052,0.064197531,,,,
7380.49,0.00054,0.066666667,,,,
7380.5,0.000589,0.072716049,,,,
7380.51,0.000559,0.069012346,,,,
7380.52,0.000569,0.070246914,,,,
7380.53,0.000549,0.067777778,,,,
7380.54,0.000549,0.067777778,,,,
7380.55,0.000569,0.070246914,,,,
7380.56,0.000598,0.07382716,,,,
7380.57,0.000559,0.069012346,,,,
7380.58,0.000549,0.067777778,,,,
7380.59,0.000559,0.069012346,,,,
7380.6,0.000549,0.067777778,,,,
7380.61,0.000559,0.069012346,,,,
7380.62,0.000549,0.067777778,,,,
7380.63,0.000569,0.070246914,,,,
7380.64,0.00052,0.064197531,,,,
7380.65,0.000491,0.060617284,,,,
7380.66,0.000501,0.061851852,,,,
7380.67,0.000471,0.058148148,,,,
7380.68,0.000462,0.057037037,,,,
7380.69,0.000423,0.052222222,,,,
7380.7,0.000383,0.047283951,,,,
7380.71,0.000335,0.041358025,,,,
7380.72,0.000325,0.040123457,,,,
7380.73,0.000286,0.035308642,,,,
7380.74,0.000247,0.030493827,,,,
7380.75,0.000188,0.023209877,,,,
7380.76,0.0001,0.012345679,,,,
7380.77,0.000081,0.01,,,,
7380.78,0.000091,0.011234568,,,,
7380.79,0.000012,0.001481481,,,,
7380.8,-0.000046,-0.005679012,,,,
7380.81,-0.000046,-0.005679012,,,,
7380.82,-0.000085,-0.010493827,,,,
7380.83,-0.000124,-0.015308642,,,,
7380.84,-0.000173,-0.021358025,,,,
7380.85,-0.000115,-0.014197531,,,,
7380.86,-0.000163,-0.020123457,,,,
7380.87,-0.000183,-0.022592593,,,,
7380.88,-0.000193,-0.02382716,,,,
7380.89,-0.000212,-0.02617284,,,,
7380.9,-0.000193,-0.02382716,,,,
7380.91,-0.000222,-0.027407407,,,,
7380.92,-0.000173,-0.021358025,,,,
7380.93,-0.00032,-0.039506173,,,,
7380.94,-0.000271,-0.03345679,,,,
7380.95,-0.00032,-0.039506173,,,,
7380.96,-0.000271,-0.03345679,,,,
7380.97,-0.000281,-0.034691358,,,,
7380.98,-0.0003,-0.037037037,,,,
7380.99,-0.00032,-0.039506173,,,,
7381,-0.0003,-0.037037037,,,,
7381.01,-0.00031,-0.038271605,,,,
7381.02,-0.00029,-0.035802469,,,,
7381.03,-0.000281,-0.034691358,,,,
7381.04,-0.000271,-0.03345679,,,,
7381.05,-0.00032,-0.039506173,,,,
7381.06,-0.00032,-0.039506173,,,,
7381.07,-0.00032,-0.039506173,,,,
7381.08,-0.00029,-0.035802469,,,,
7381.09,-0.00031,-0.038271605,,,,
7381.1,-0.0003,-0.037037037,,,,
7381.11,-0.00031,-0.038271605,,,,
7381.12,-0.0003,-0.037037037,,,,
7381.13,-0.000281,-0.034691358,,,,
7381.14,-0.00031,-0.038271605,,,,
7381.15,-0.000222,-0.027407407,,,,
7381.16,-0.000339,-0.041851852,,,,
7381.17,-0.000281,-0.034691358,,,,
7381.18,-0.000281,-0.034691358,,,,
7381.19,-0.00029,-0.035802469,,,,
7381.2,-0.000281,-0.034691358,,,,
7381.21,-0.000261,-0.032222222,,,,
7381.22,-0.000251,-0.030987654,,,,
7381.23,-0.000261,-0.032222222,,,,
7381.24,-0.000232,-0.028641975,,,,
7381.25,-0.000163,-0.020123457,,,,
7381.26,-0.000183,-0.022592593,,,,
7381.27,-0.000212,-0.02617284,,,,
7381.28,-0.000163,-0.020123457,,,,
7381.29,-0.000105,-0.012962963,,,,
7381.3,-0.000085,-0.010493827,,,,
7381.31,-0.000076,-0.009382716,,,,
7381.32,-0.000056,-0.00691358,,,,
7381.33,-0.000017,-0.002098765,,,,
7381.34,-0.000007,-0.000864198,,,,
7381.35,0.000032,0.003950617,,,,
7381.36,0.000051,0.006296296,,,,
7381.37,0.000081,0.01,,,,
7381.38,0.00011,0.013580247,,,,
7381.39,0.000139,0.017160494,,,,
7381.4,0.000178,0.021975309,,,,
7381.41,0.000227,0.028024691,,,,
7381.42,0.000237,0.029259259,,,,
7381.43,0.000257,0.031728395,,,,
7381.44,0.000286,0.035308642,,,,
7381.45,0.000335,0.041358025,,,,
7381.46,0.000364,0.044938272,,,,
7381.47,0.000413,0.050987654,,,,
7381.48,0.000423,0.052222222,,,,
7381.49,0.000442,0.054567901,,,,
7381.5,0.000491,0.060617284,,,,
7381.51,0.00051,0.062962963,,,,
7381.52,0.00053,0.065432099,,,,
7381.53,0.00053,0.065432099,,,,
7381.54,0.00052,0.064197531,,,,
7381.55,0.000559,0.069012346,,,,
7381.56,0.000589,0.072716049,,,,
7381.57,0.000608,0.075061728,,,,
7381.58,0.000579,0.071481481,,,,
7381.59,0.000589,0.072716049,,,,
7381.6,0.000589,0.072716049,,,,
7381.61,0.000579,0.071481481,,,,
7381.62,0.000549,0.067777778,,,,
7381.63,0.000608,0.075061728,,,,
7381.64,0.000569,0.070246914,,,,
7381.65,0.00051,0.062962963,,,,
7381.66,0.00051,0.062962963,,,,
7381.67,0.00052,0.064197531,,,,
7381.68,0.000559,0.069012346,,,,
7381.69,0.00052,0.064197531,,,,
7381.7,0.000481,0.059382716,,,,
7381.71,0.000452,0.055802469,,,,
7381.72,0.000423,0.052222222,,,,
7381.73,0.000432,0.053333333,,,,
7381.74,0.000383,0.047283951,,,,
7381.75,0.000315,0.038888889,,,,
7381.76,0.000227,0.028024691,,,,
7381.77,0.000188,0.023209877,,,,
7381.78,0.000159,0.01962963,,,,
7381.79,0.000061,0.007530864,,,,
7381.8,0.000012,0.001481481,,,,
7381.81,-0.000046,-0.005679012,,,,
7381.82,-0.000105,-0.012962963,,,,
7381.83,-0.000173,-0.021358025,,,,
7381.84,-0.000232,-0.028641975,,,,
7381.85,-0.000242,-0.029876543,,,,
7381.86,-0.000202,-0.024938272,,,,
7381.87,-0.000232,-0.028641975,,,,
7381.88,-0.000281,-0.034691358,,,,
7381.89,-0.00031,-0.038271605,,,,
7381.9,-0.00031,-0.038271605,,,,
7381.91,-0.00029,-0.035802469,,,,
7381.92,-0.000329,-0.040617284,,,,
7381.93,-0.00032,-0.039506173,,,,
7381.94,-0.000368,-0.045432099,,,,
7381.95,-0.000368,-0.045432099,,,,
7381.96,-0.000378,-0.046666667,,,,
7381.97,-0.000368,-0.045432099,,,,
7381.98,-0.000408,-0.05037037,,,,
7381.99,-0.000408,-0.05037037,,,,
7382,-0.000398,-0.049135802,,,,
7382.01,-0.000398,-0.049135802,,,,
7382.02,-0.000408,-0.05037037,,,,
7382.03,-0.000408,-0.05037037,,,,
7382.04,-0.000408,-0.05037037,,,,
7382.05,-0.000408,-0.05037037,,,,
7382.06,-0.000359,-0.044320988,,,,
7382.07,-0.000378,-0.046666667,,,,
7382.08,-0.000378,-0.046666667,,,,
7382.09,-0.000408,-0.05037037,,,,
7382.1,-0.000388,-0.047901235,,,,
7382.11,-0.000378,-0.046666667,,,,
7382.12,-0.000388,-0.047901235,,,,
7382.13,-0.000359,-0.044320988,,,,
7382.14,-0.000349,-0.04308642,,,,
7382.15,-0.000349,-0.04308642,,,,
7382.16,-0.00031,-0.038271605,,,,
7382.17,-0.000329,-0.040617284,,,,
7382.18,-0.000339,-0.041851852,,,,
7382.19,-0.000271,-0.03345679,,,,
7382.2,-0.00029,-0.035802469,,,,
7382.21,-0.000242,-0.029876543,,,,
7382.22,-0.000271,-0.03345679,,,,
7382.23,-0.000222,-0.027407407,,,,
7382.24,-0.000212,-0.02617284,,,,
7382.25,-0.000105,-0.012962963,,,,
7382.26,-0.000095,-0.011728395,,,,
7382.27,-0.000134,-0.01654321,,,,
7382.28,-0.000066,-0.008148148,,,,
7382.29,-0.000056,-0.00691358,,,,
7382.3,0.000012,0.001481481,,,,
7382.31,-0.000007,-0.000864198,,,,
7382.32,0.000012,0.001481481,,,,
7382.33,0.000071,0.008765432,,,,
7382.34,0.000042,0.005185185,,,,
7382.35,0.000071,0.008765432,,,,
7382.36,0.000061,0.007530864,,,,
7382.37,0.00011,0.013580247,,,,
7382.38,0.00012,0.014814815,,,,
7382.39,0.000139,0.017160494,,,,
7382.4,0.00013,0.016049383,,,,
7382.41,0.000169,0.020864198,,,,
7382.42,0.000178,0.021975309,,,,
7382.43,0.000227,0.028024691,,,,
7382.44,0.000227,0.028024691,,,,
7382.45,0.000247,0.030493827,,,,
7382.46,0.000286,0.035308642,,,,
7382.47,0.000305,0.037654321,,,,
7382.48,0.000305,0.037654321,,,,
7382.49,0.000364,0.044938272,,,,
7382.5,0.000335,0.041358025,,,,
7382.51,0.000423,0.052222222,,,,
7382.52,0.000364,0.044938272,,,,
7382.53,0.000423,0.052222222,,,,
7382.54,0.000364,0.044938272,,,,
7382.55,0.000432,0.053333333,,,,
7382.56,0.000462,0.057037037,,,,
7382.57,0.000432,0.053333333,,,,
7382.58,0.000423,0.052222222,,,,
7382.59,0.000393,0.048518519,,,,
7382.6,0.000481,0.059382716,,,,
7382.61,0.000452,0.055802469,,,,
7382.62,0.000452,0.055802469,,,,
7382.63,0.000452,0.055802469,,,,
7382.64,0.000423,0.052222222,,,,
7382.65,0.000442,0.054567901,,,,
7382.66,0.000413,0.050987654,,,,
7382.67,0.000452,0.055802469,,,,
7382.68,0.000452,0.055802469,,,,
7382.69,0.000413,0.050987654,,,,
7382.7,0.000393,0.048518519,,,,
7382.71,0.000354,0.043703704,,,,
7382.72,0.000354,0.043703704,,,,
7382.73,0.000383,0.047283951,,,,
7382.74,0.000354,0.043703704,,,,
7382.75,0.000286,0.035308642,,,,
7382.76,0.000276,0.034074074,,,,
7382.77,0.000237,0.029259259,,,,
7382.78,0.000169,0.020864198,,,,
7382.79,0.000149,0.018395062,,,,
7382.8,0.0001,0.012345679,,,,
7382.81,0.000042,0.005185185,,,,
7382.82,0.000003,0.00037037,,,,
7382.83,-0.000036,-0.004444444,,,,
7382.84,-0.000095,-0.011728395,,,,
7382.85,-0.000134,-0.01654321,,,,
7382.86,-0.000173,-0.021358025,,,,
7382.87,-0.000232,-0.028641975,,,,
7382.88,-0.000242,-0.029876543,,,,
